plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	armsig	kind	sig	pkl_sha256	model	version	ckpt	task	task_id	instruction	env_name	env_seed	inference_seed	episode_idx	success	steps	n_inferences	n_action_steps	chunk_len	has_pkl	jitter_reset_idx	base_lat	base_back	layout_id	style_id	side	lang	legacy	capture_token_mode	feature_kind	feature_axes	record_shape	capture_layers	plan_name	machine_source	ckpt_source	meta_source	rel_path
375e3c46c962	kanu	CoffeeSetupMug	0	4	0	base	activation	1ad9fa2c85f5eb3f	1ad9fa2c85f5eb3ffe86c71f25fed162d0e09125a1f2f146d3e6118fbbcf8a42	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300000	0	0			5		1	4	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j4/n0/base
375e3c46c962	kanu	CoffeeSetupMug	0	4	1	base	activation	a9d98f9d23786074	a9d98f9d23786074a4672adc7ce220c26e740f007bdaad3dbf466d2de5baa479	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300001	0	0			5		1	4	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j4/n1/base
375e3c46c962	kanu	CoffeeSetupMug	0	4	2	base	activation	ae903bc00820131f	ae903bc00820131f7431719d7a57e347e966ffcd8b925d11ea61833e11e8f770	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300002	0	0			5		1	4	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j4/n2/base
375e3c46c962	kanu	CoffeeSetupMug	0	4	3	base	activation	2ecf772b69e52d50	2ecf772b69e52d508e42bc04dd860b039417e5d9b64eacf5d9c3642c406ade0f	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300003	0	0			5		1	4	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j4/n3/base
375e3c46c962	kanu	CoffeeSetupMug	0	4	4	base	activation	c620252a2f9fe053	c620252a2f9fe05309aac180562e1b19c2ae7a60eb949a794e18fa1011c5e4cf	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300004	0	0			5		1	4	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j4/n4/base
375e3c46c962	kanu	CoffeeSetupMug	1	0	0	base	activation	a897578379634319	a897578379634319387c9785b5ceff9f009b7281ee8d25bb29704bce2183891e	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100078	1300000	0	0			5		1	0	0.0	0.0	9	9		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s1/j0/n0/base
375e3c46c962	kanu	CoffeeSetupMug	1	0	1	base	activation	dfc01d9d723fdfcc	dfc01d9d723fdfcc3d8680b2e1ca70b4968774ad9ea2b556e0221834f43bed85	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100078	1300001	0	0			5		1	0	0.0	0.0	9	9		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s1/j0/n1/base
375e3c46c962	kanu	CoffeeSetupMug	1	0	2	base	activation	210c5b7c76fb6873	210c5b7c76fb6873f7976d5bec8ad4d81d6bebd62a3a542d86607d5f6e11145f	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100078	1300002	0	0			5		1	0	0.0	0.0	9	9		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s1/j0/n2/base
375e3c46c962	kanu	CoffeeSetupMug	1	0	3	base	activation	c6b0959b5636c218	c6b0959b5636c2183485ed32d70868699b2fceff4d3275f6e4588db9d2cd1056	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100078	1300003	0	0			5		1	0	0.0	0.0	9	9		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s1/j0/n3/base
375e3c46c962	kanu	CoffeeSetupMug	1	0	4	base	activation	1a97a8cb3822287e	1a97a8cb3822287efdbb79df71d63afa5f2e929e1f396565d3595bdc7f183a2e	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100078	1300004	0	0			5		1	0	0.0	0.0	9	9		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s1/j0/n4/base
