rel_path	success	n_rec	vl_const_onset	flag
kanu/OpenDrawer/right/s2/j1/n2/base	1	44		OK
kanu/OpenDrawer/right/s2/j2/n0/base	1	57		OK
kanu/OpenDrawer/right/s2/j2/n1/base	1	56		OK
kanu/OpenDrawer/right/s2/j0/n4/base	0	144		OK
kanu/OpenDrawer/right/s2/j1/n0/base	1	55		OK
kanu/OpenDrawer/right/s2/j2/n2/base	1	55		OK
kanu/OpenDrawer/right/s2/j2/n3/base	1	53		OK
kanu/OpenDrawer/right/s2/j2/n4/base	1	53		OK
kanu/OpenDrawer/right/s2/j3/n0/base	1	57		OK
kanu/OpenDrawer/right/s2/j3/n1/base	1	69		OK
kanu/OpenDrawer/right/s2/j3/n2/base	1	54		OK
kanu/OpenDrawer/right/s2/j3/n3/base	1	53		OK
kanu/OpenDrawer/right/s2/j3/n4/base	1	64		OK
kanu/OpenDrawer/right/s2/j4/n2/base	1	51		OK
kanu/OpenDrawer/right/s2/j4/n3/base	1	49		OK
kanu/OpenDrawer/right/s2/j4/n0/base	1	56		OK
kanu/OpenDrawer/right/s2/j4/n1/base	1	52		OK
kanu/OpenDrawer/right/s2/j4/n4/base	1	51		OK
worker1/DishwasherRack/out-left/s0/j0/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j0/n1/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j0/n2/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j0/n3/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j0/n4/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j1/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j1/n1/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j1/n2/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j1/n3/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j1/n4/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j2/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j2/n1/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j2/n2/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j3/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j3/n1/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j2/n3/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j2/n4/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j3/n2/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j3/n3/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j3/n4/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j4/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j4/n1/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j4/n2/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j4/n3/base	0	144		OK
worker1/DishwasherRack/out-left/s0/j4/n4/base	0	144		OK
worker1/DishwasherRack/out-left/s1/j0/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s1/j0/n1/base	1	140		OK
worker1/DishwasherRack/out-left/s1/j0/n4/base	1	86		OK
worker1/DishwasherRack/out-left/s1/j1/n0/base	0	144		OK
worker1/DishwasherRack/out-left/s1/j0/n2/base	1	144		OK
worker1/DishwasherRack/out-left/s1/j0/n3/base	1	136		OK
worker1/DishwasherRack/out-left/s1/j1/n1/base	0	144		OK
worker1/DishwasherRack/out-left/s1/j1/n2/base	0	144		OK
worker1/DishwasherRack/out-left/s1/j1/n3/base	0	144		OK
worker1/DishwasherRack/out-left/s1/j1/n4/base	0	144		OK
