plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	jitter_reset_idx	base_lat	base_back	env_seed	inference_seed	sig	success	rel_path
77e745c37b0f	worker1	OvenRack/out-left	1	1	2	0	0.0	0.05	100754	1300002	8d981b41f2141d81	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n2/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	3	0	0.0	0.05	100754	1300003	7c18da22fdfb8892	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n3/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	4	0	0.0	0.05	100754	1300004	2bccc3014e44d9a7	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n4/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	5	0	0.0	0.05	100754	1300005	8fd3a1bacc851e39	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n5/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	6	0	0.0	0.05	100754	1300006	808e4cd1da11663d	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n6/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	7	0	0.0	0.05	100754	1300007	f8c8d5f8ce989626	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n7/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	8	0	0.0	0.05	100754	1300008	1ab6263fa8527bc8	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n8/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	9	0	0.0	0.05	100754	1300009	15a4e3b5c501145a	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n9/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	0	0	0.0	0.1	100754	1300000	6b74ad40f015aa69	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n0/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	1	0	0.0	0.1	100754	1300001	364b47e4184905ac	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n1/base
